Font Name,Foundry/Creator,Price,Styles
Neue Helvetica®,Linotype,$35.00,160
Gilroy™,Radomir Tinkov,$25.00,20
Avenir®,Linotype,$35.00,24
FF DIN®,FontFont,$65.00,55
Proxima Nova,Mark Simonson,$29.00,144
FF Mark®,FontFont,$49.00,122
ITC Avant Garde Gothic®,ITC,$35.00,40
Cera Pro™,TypeMates,$55.00,12
Brandon Grotesque,HVD Fonts,$40.00,12
Avenir® Next,Linotype,$89.00,32
DIN® Next,Linotype,$49.00,28
Campton,Rene Bieder,$30.00,20
Recoleta,Latinotype,$29.00,15
Noah™,Fontfabric,$35.00,72
Univers®,Linotype,$35.00,27
Neue Haas Unica™,Linotype,$49.00,18
TT Norms Pro,TypeType,$39.00,18
Twentieth Century™,Monotype ,$35.00,34
Amsi Pro,Stawix,$40.00,49
Brandon Text,HVD Fonts,$40.00,12
Frutiger®,Linotype,$35.00,38
Helvetica®,Linotype,$35.00,34
Trade Gothic®,Linotype,$35.00,26
Mont™,Fontfabric,$35.00,22
Futura®,Linotype,$35.00,43
Galano Grotesque,Rene Bieder,$30.00,42
Graphit,HVD Fonts,$40.00,12
TT Commons,TypeType,$49.00,18
Bebas Neue Pro™,Dharma Type,$14.99,40
Tazugane™ Gothic,Monotype ,$179.00,10
Nexa,Fontfabric,$17.00,16
Artegra Sans,Artegra,$29.00,162
Nexa Rust™,Fontfabric,$17.00,83
Harmonia Sans™,Monotype ,$65.00,57
Panton,Fontfabric,$17.00,54
FF Netto®,FontFont,$39.00,21
FF Clan®,FontFont,$55.00,168
Madera™,Monotype ,$49.00,16
Sailec,Type Dynamic,$35.00,14
Ysobel™,Monotype ,$65.00,40
Sofia Pro,Mostardesign,$25.00,16
Intro™,Fontfabric,$29.00,50
Larsseit,Type Dynamic,$37.00,12
Museo Sans Rounded™,exljbris,$16.50,12
Futura® PT,ParaType,$30.00,22
Optima®,Linotype,$35.00,24
Neo® Sans,Monotype ,$65.00,36
Axiforma,Kastelov,$55.00,20
Museo Sans™,exljbris,$16.50,10
Slate™,Monotype ,$65.00,48
Frontage Condensed,Juri Zaech,$5.00,10
Neue Frutiger® World,Monotype ,$149.00,20
Silk Serif,SilkType,$47.50,14
Geogrotesque,Emtype Foundry,$50.00,14
Gill Sans®,Monotype ,$35.00,21
Eina,Textaxis,$40.00,32
Capitolium 2,TypeTogether,$32.00,19
TT Supermolot Neue,TypeType,$29.00,54
PF Centro Slab Pro™,Parachute,$79.00,16
Volte,Indian Type Foundry,$39.00,10
Uni Neue™,Fontfabric,$27.00,14
Northwell,Set Sail Studios,$6.99,2
Myriad® Pro,Adobe,$35.00,40
Averta,Intelligent Design,$15.00,48
Colby,Jason Vandenberg,$19.00,72
Hermann,W Foundry,$29.00,10
Authenia,Mika Melvas,$29.00,2
Brandon Grotesque Condensed,HVD Fonts,$40.00,12
FF Max®,FontFont,$55.00,73
Turbinado,Aerotype,$28.00,19
Texta,Latinotype,$26.00,32
Silver South,Set Sail Studios,$16.00,3
DIN® Next Rounded,Linotype,$49.00,4
Blacker,Zetafonts,$29.00,24
Sackers Gothic™,Monotype ,$35.00,3
Plantin®,Monotype ,$35.00,18
Lulo Clean,Yellow Design Studio,$20.00,10
Selfie,Lián Types,$15.00,5
Stash,Jason Vandenberg,$29.00,10
Neue Plak™,Monotype ,$49.00,60
Double Porter™,Fenotype,$15.00,18
Alvar,Los Andes,$19.00,49
FF Kievit®,FontFont,$69.00,36
Absolute Beauty,My Creative Land,$23.99,5
Hops And Barley™,Fenotype,$15.00,16
Aktifo™,Degarism Studio,$45.00,28
Seventies,Lián Types,$18.00,6
Brush Up,PintassilgoPrints,$24.00,2
Kokomo Breeze,Nicky Laatz ,$35.00,1
Radikal,Nootype,$40.00,14
Vito,Dots&Stripes Type,$70.00,60
Muller™,Fontfabric,$47.00,44
Freight Display Pro™,GarageFonts,$45.00,12
Mrs Eaves™,Emigre,$39.00,9
Intro Rust™,Fontfabric,$29.00,214
Fixture,Sudtipos,$29.00,72
Uni Sans™,Fontfabric,$29.00,14
Gordita,Type Atelier,$25.00,14
Heroic Condensed,TypeTrust,$30.00,16
FF Milo®,FontFont,$69.00,36
Futura®,Bitstream,$29.00,20
VAG Rounded™,Linotype,$35.00,8
Town,Jason Vandenberg,$19.00,124
Extenda,Zetafonts,$29.00,12
Quickbrush,Trial by Cupcakes,$29.00,1
Monstice,Seventh Imperium,$5.00,7
Armin Grotesk,W Foundry,$25.00,14
ITC Conduit®,ITC,$65.00,14
Swiss 721,Bitstream,$29.00,30
Pluto™,HVD Fonts,$40.00,32
Trade Gothic® Next,Linotype,$89.00,17
FF Meta®,FontFont,$59.00,59
FF Bau®,FontFont,$55.00,16
Sidecar™,Fenotype,$15.00,8
Just Lovely,Nicky Laatz ,$15.00,4
Arial®,Monotype ,$35.00,87
Sweet Sans™,Sweet,$59.00,24
Auxilia,Typomancer,$20.00,20
Walbaum,Monotype ,$49.00,69
TT Tsars,TypeType,$47.00,20
Soho®,Monotype ,$65.00,80
Caniste,Ilham Herry,$15.00,7
Editor,Indian Type Foundry,$39.00,10
Sagona,Rene Bieder,$39.00,20
Organika,Mika Melvas,$22.00,6
Neusa Next™,The Northern Block Ltd,$33.19,80
Couturier Poster,Latinotype,$29.00,12
Handelson,Mika Melvas,$29.00,6
Rift,Fort Foundry,$25.00,20
Cervo Neue,Typoforge Studio,$29.00,18
Summer Loving,Nicky Laatz ,$17.00,3
Adobe Caslon™ Pro,Adobe,$35.00,6
Sant’Elia Script,Yellow Design Studio,$20.00,44
Stolzl™,The Northern Block Ltd,$32.00,6
Operetta,Synthview,$34.00,40
Speakeasy,Sudtipos,$39.00,5
Objektiv,Dalton Maag,$21.50,42
Chin Up Buttercup,Nicky Laatz ,$10.00,3
Futura®,URW,$19.95,41
Bembo®,Monotype ,$35.00,18
Sofa Sans Hand™,FaceType,$9.00,18
Bodoni,Bitstream,$29.00,7
Borda™,The Northern Block Ltd,$29.00,12
Linotype Didot™,Linotype,$35.00,8
Garden Grown,Cultivated Mind,$15.00,2
Freight Text Pro™,GarageFonts,$45.00,12
PF DIN Text®,Parachute,$45.00,102
Recta™,Canada Type,$24.95,18
Univia Pro,Mostardesign,$25.00,18
Freight Big Pro™,GarageFonts,$45.00,12
Kapra Neue,Typoforge Studio,$29.00,48
Gentona,Rene Bieder,$25.00,20
Torus,Paulo Goode,$20.00,6
Carnac,Hoftype,$49.00,16
Quiche Sans,Adam Ladd,$22.00,14
Populaire,PintassilgoPrints,$29.00,2
Minion® Pro,Adobe,$35.00,64
Hanley Pro,District 62 Studio,$5.00,15
ITC Clearface®,ITC,$35.00,16
Isidora Sans,Latinotype,$26.00,28
White Oleander,Nicky Laatz ,$20.00,4
Baro,Indian Type Foundry,$50.00,7
Cabrito Contrast™,insigne,$29.99,54
Kommon Grotesk,TypeK,$39.00,96
Mikado,HVD Fonts,$30.00,13
Fineday,Mika Melvas,$29.00,4
Isidora,Latinotype,$26.00,28
